Date,Open,High,Low,Close,Adj Close,Volume
2011-07-06,67.580002,69.919998,67.260002,69.029999,63.891758,67600
2011-07-07,69.669998,69.900002,69.000000,69.559998,64.382294,29700
2011-07-08,69.070000,69.279999,67.660004,68.480003,63.382710,32700
2011-07-11,68.029999,68.739998,67.260002,67.769997,62.725540,16400
2011-07-12,68.010002,68.900002,67.260002,67.269997,62.262783,15500
2011-07-13,67.349998,67.959999,66.739998,67.400002,62.383099,17800
2011-07-14,67.449997,67.480003,65.760002,65.779999,60.883682,10900
2011-07-15,66.000000,66.050003,65.029999,65.500000,60.624527,16000
2011-07-18,65.190002,65.250000,63.959999,64.129997,59.356495,16200
2011-07-19,64.330002,64.470001,63.430000,64.349998,59.560108,23000
2011-07-20,64.300003,65.000000,63.770000,63.790001,59.041809,35100
2011-07-21,63.779999,65.089996,63.779999,65.059998,60.217258,19800
2011-07-22,65.150002,65.680000,64.169998,64.820000,59.995132,13800
2011-07-25,64.070000,64.519997,63.500000,64.050003,59.282452,26000
2011-07-26,64.410004,64.410004,63.369999,63.580002,58.847427,10300
2011-07-27,63.660000,63.849998,63.009998,63.049999,58.356884,15300
2011-07-28,63.009998,64.430000,62.860001,64.389999,59.597145,12200
2011-07-29,63.910000,64.870003,63.520000,64.519997,59.717445,28900
2011-08-01,65.760002,65.760002,64.769997,64.959999,60.124722,22000
2011-08-02,64.870003,65.910004,63.160000,63.200001,58.495720,25800
2011-08-03,63.560001,66.620003,63.330002,66.360001,61.664436,32000
2011-08-04,66.250000,66.250000,63.689999,63.700001,59.192661,28700
2011-08-05,64.000000,65.500000,63.709999,64.550003,59.982510,23500
2011-08-08,63.459999,64.320000,60.139999,60.150002,55.893848,46400
2011-08-09,61.669998,64.360001,60.230000,64.360001,59.805958,47100
2011-08-10,64.320000,64.489998,61.110001,61.480000,57.129745,41100
2011-08-11,62.990002,62.990002,60.439999,61.520000,57.166908,44600
2011-08-12,62.200001,62.330002,58.790001,60.820000,56.516445,72100
2011-08-15,61.400002,61.759998,59.630001,60.840000,56.535023,31900
2011-08-16,60.360001,60.650002,59.880001,59.880001,55.642952,21000
2011-08-17,60.009998,60.830002,60.000000,60.529999,56.246960,20400
2011-08-18,60.000000,60.270000,59.029999,59.340000,55.141159,32500
2011-08-19,59.150002,60.410000,58.110001,58.139999,54.026066,36100
2011-08-22,59.540001,59.540001,58.029999,58.169998,54.053955,44800
2011-08-23,58.529999,59.250000,58.029999,59.160000,54.973888,22800
2011-08-24,59.220001,59.730000,58.389999,59.160000,54.973888,15700
2011-08-25,59.310001,59.660000,58.250000,58.250000,54.128281,35500
2011-08-26,58.099998,59.340000,58.099998,59.230000,55.038952,9200
2011-08-29,58.849998,59.139999,57.000000,57.090000,53.050369,114300
2011-08-30,57.150002,57.400002,56.000000,56.450001,52.455643,175700
2011-08-31,57.180000,57.650002,55.650002,56.000000,52.037495,51700
2011-09-01,55.980000,56.930000,55.570000,56.430000,52.437077,31800
2011-09-02,55.910000,55.980000,54.490002,55.009998,51.117550,41300
2011-09-06,54.000000,54.759998,53.500000,54.540001,50.680817,34300
2011-09-07,55.290001,55.299999,54.630001,55.279999,51.368443,22700
2011-09-08,55.200001,56.500000,55.000000,55.270000,51.359142,58600
2011-09-09,54.919998,55.779999,54.500000,55.349998,51.433491,33000
2011-09-12,54.970001,55.759998,54.630001,55.459999,51.535698,24800
2011-09-13,55.480000,55.790001,54.250000,54.880001,50.996754,27800
2011-09-14,55.360001,56.000000,54.779999,55.630001,51.693676,32600
2011-09-15,56.150002,56.150002,55.610001,56.119999,52.149010,21500
2011-09-16,56.369999,57.099998,55.480000,55.480000,51.554302,46500
2011-09-19,55.049999,55.869999,54.240002,55.040001,51.145428,19100
2011-09-20,55.230000,55.790001,54.770000,54.770000,50.894527,21400
2011-09-21,54.919998,55.910000,54.009998,54.220001,50.383442,16400
2011-09-22,54.000000,56.209999,53.860001,55.880001,51.925987,50500
2011-09-23,55.700001,56.709999,55.000000,55.599998,51.665787,18600
2011-09-26,55.689999,56.549999,54.160000,56.340000,52.353432,16900
2011-09-27,56.939999,56.939999,55.279999,55.570000,51.637905,24100
2011-09-28,55.990002,55.990002,55.000000,55.200001,51.294094,34600
2011-09-29,55.950001,56.090000,54.139999,55.799999,51.851639,20200
2011-09-30,55.290001,56.639999,55.099998,55.459999,51.535698,18900
2011-10-03,55.169998,56.360001,52.000000,52.080002,48.394867,32500
2011-10-04,52.080002,53.459999,50.259998,52.459999,48.747982,75400
2011-10-05,52.720001,52.959999,50.990002,52.480000,48.766571,18100
2011-10-06,52.680000,53.410000,51.650002,53.279999,49.509956,20200
2011-10-07,53.720001,53.759998,51.779999,52.169998,48.478500,20700
2011-10-10,53.000000,53.889999,52.189999,53.869999,50.058208,21200
2011-10-11,53.369999,54.389999,53.320000,54.290001,50.448490,14200
2011-10-12,54.740002,56.910000,54.490002,56.580002,52.576450,21800
2011-10-13,56.500000,56.500000,55.020000,55.900002,51.944580,20800
2011-10-14,56.580002,57.740002,56.049999,57.349998,53.291965,21000
2011-10-17,57.349998,57.349998,54.369999,55.189999,51.284813,36700
2011-10-18,55.669998,57.349998,55.490002,57.090000,53.050369,29400
2011-10-19,57.279999,57.349998,55.880001,56.049999,52.083954,11700
2011-10-20,56.500000,56.880001,55.639999,55.639999,51.702972,5400
2011-10-21,56.880001,57.099998,56.049999,56.869999,52.845936,12300
2011-10-24,57.000000,57.810001,56.270000,57.799999,53.710136,48200
2011-10-25,57.369999,57.369999,55.520000,55.520000,51.591469,15300
2011-10-26,56.099998,57.139999,55.549999,56.290001,52.306976,13200
2011-10-27,57.790001,58.790001,57.090000,58.450001,54.314133,27700
2011-10-28,58.130001,58.480000,56.400002,56.619999,52.613621,21500
2011-10-31,56.459999,57.180000,55.939999,56.119999,52.149010,29500
2011-11-01,55.169998,56.000000,54.619999,55.090000,51.191887,37800
2011-11-02,55.110001,56.820000,55.110001,56.400002,52.409195,17600
2011-11-03,56.410000,57.990002,55.549999,57.599998,53.762589,16000
2011-11-04,57.389999,57.570000,56.310001,57.270000,53.454582,13700
2011-11-07,57.259998,57.349998,55.970001,56.200001,52.455849,13100
2011-11-08,56.500000,57.799999,56.250000,57.500000,53.669247,11200
2011-11-09,56.270000,56.520000,54.980000,55.000000,51.335804,24700
2011-11-10,56.009998,56.009998,53.750000,54.259998,50.645103,25300
2011-11-11,55.320000,55.320000,54.000000,54.500000,50.869122,23200
2011-11-14,54.759998,54.759998,53.939999,54.279999,50.663769,16600
2011-11-15,54.189999,55.180000,54.139999,55.090000,51.419815,17100
2011-11-16,54.480000,55.220001,54.330002,54.369999,50.747784,13600
2011-11-17,54.610001,55.150002,54.410000,54.810001,51.158466,14900
2011-11-18,54.919998,56.200001,54.910000,55.580002,51.877174,12100
2011-11-21,55.150002,55.150002,54.310001,54.509998,50.878445,14300
2011-11-22,54.680000,54.740002,53.240002,53.740002,50.159752,9400
2011-11-23,53.430000,53.990002,51.529999,51.779999,48.330326,18400
2011-11-25,51.970001,52.779999,51.529999,51.580002,48.143658,5300
2011-11-28,53.240002,54.099998,52.610001,53.990002,50.393101,21300
2011-11-29,53.840000,54.310001,53.090000,54.009998,50.411755,6100
2011-11-30,55.320000,56.000000,54.279999,56.000000,52.269180,34300
2011-12-01,55.459999,55.500000,53.570000,53.720001,50.141087,23400
2011-12-02,54.150002,54.990002,53.930000,54.790001,51.139801,8700
2011-12-05,55.020000,55.070000,53.150002,53.520000,49.954391,25700
2011-12-06,54.330002,55.660000,54.220001,55.570000,51.867817,21400
2011-12-07,55.139999,55.389999,54.189999,54.660000,51.018456,27100
2011-12-08,54.299999,54.369999,53.000000,53.230000,49.683716,25000
2011-12-09,53.639999,55.389999,53.480000,55.040001,51.373146,15100
2011-12-12,54.959999,54.959999,54.020000,54.480000,50.850449,16700
2011-12-13,54.590000,55.419998,53.720001,53.720001,50.141087,29600
2011-12-14,53.439999,54.759998,53.439999,54.000000,50.402428,20900
2011-12-15,54.450001,54.450001,53.299999,54.160000,50.551762,15900
2011-12-16,54.259998,54.590000,53.279999,54.110001,50.505093,32400
2011-12-19,54.369999,55.759998,54.000000,54.029999,50.430428,15300
2011-12-20,54.599998,55.349998,54.240002,55.150002,51.475811,18700
2011-12-21,55.139999,55.900002,54.529999,55.740002,52.026497,39300
2011-12-22,55.669998,56.650002,55.630001,56.650002,52.875874,23700
2011-12-23,56.740002,56.990002,56.500000,56.849998,53.062557,10400
2011-12-27,56.919998,56.919998,56.630001,56.740002,52.959892,7300
2011-12-28,56.750000,56.750000,55.759998,55.759998,52.045181,7600
2011-12-29,56.009998,56.840000,56.009998,56.840000,53.053226,9400
2011-12-30,58.169998,59.810001,57.279999,58.549999,54.649296,36200
2012-01-03,59.189999,59.189999,58.099998,58.599998,54.695969,37200
2012-01-04,58.400002,58.720001,57.639999,57.669998,53.827923,18500
2012-01-05,57.740002,58.369999,57.419998,57.779999,53.930595,8500
2012-01-06,57.759998,58.189999,56.730000,56.730000,52.950558,17400
2012-01-09,57.520000,57.520000,56.799999,57.139999,53.333225,12200
2012-01-10,57.939999,58.200001,57.450001,57.650002,53.809261,12100
2012-01-11,57.639999,57.639999,56.660000,57.299999,53.482578,20700
2012-01-12,57.220001,58.160000,56.950001,58.160000,54.285278,35800
2012-01-13,57.959999,58.250000,57.369999,58.000000,54.135941,10400
2012-01-17,58.509998,58.509998,57.630001,58.320000,54.434624,12600
2012-01-18,57.770000,58.770000,57.580002,58.459999,54.565285,22300
2012-01-19,58.689999,58.779999,58.240002,58.520000,54.621292,10900
2012-01-20,56.740002,59.000000,56.509998,59.000000,55.069309,21400
2012-01-23,59.000000,59.700001,58.790001,59.290001,55.339993,12100
2012-01-24,59.320000,60.290001,59.150002,60.230000,56.217373,15800
2012-01-25,60.520000,60.520000,59.619999,60.099998,56.096039,17200
2012-01-26,60.520000,60.700001,60.119999,60.320000,56.301376,14100
2012-01-27,60.480000,61.990002,60.480000,61.380001,57.290768,18700
2012-01-30,61.439999,61.520000,60.040001,60.119999,56.114697,19300
2012-01-31,60.660000,61.480000,60.160000,61.000000,56.936089,13700
2012-02-01,61.169998,61.970001,60.950001,61.770000,57.892029,18200
2012-02-02,61.900002,61.900002,61.020000,61.900002,58.013885,9100
2012-02-03,62.290001,63.980000,61.919998,63.480000,59.494694,18900
2012-02-06,63.930000,63.930000,62.549999,63.090000,59.129162,16100
2012-02-07,63.500000,63.990002,62.000000,63.240002,59.269760,20000
2012-02-08,63.650002,64.620003,63.450001,64.260002,60.225716,25600
2012-02-09,64.309998,64.699997,63.830002,64.260002,60.225716,9500
2012-02-10,64.209999,64.660004,63.000000,63.189999,59.222893,15100
2012-02-13,63.820000,64.089996,63.240002,64.029999,60.010147,9200
2012-02-14,64.190002,64.389999,63.290001,64.059998,60.038280,6100
2012-02-15,64.059998,64.059998,62.900002,63.029999,59.072933,20500
2012-02-16,63.000000,64.750000,62.000000,64.290001,60.253834,43300
2012-02-17,64.650002,64.970001,64.089996,64.790001,60.722439,15800
2012-02-21,64.489998,64.489998,63.380001,64.239998,60.206963,21900
2012-02-22,64.190002,64.510002,63.820000,64.199997,60.169483,6300
2012-02-23,64.480003,64.739998,64.199997,64.739998,60.675587,20600
2012-02-24,64.739998,64.870003,64.430000,64.720001,60.656841,8900
2012-02-27,64.580002,64.949997,64.000000,64.889999,60.816177,6800
2012-02-28,64.949997,64.949997,64.360001,64.709999,60.647457,7000
2012-02-29,64.660004,64.989998,64.440002,64.440002,60.394424,13800
2012-03-01,64.889999,65.250000,64.500000,64.500000,60.450657,16300
2012-03-02,64.589996,65.269997,64.000000,64.260002,60.225716,20900
